user_id,ratio,numberRecommendationUserHas,numberGamesUserHasInTest
5250,0,0,3
76767,0,0,9
86540,0,0,15
229911,0,0,6
298950,0,1,50
381543,0,0,0
547685,0,0,8
554278,0,0,6
561758,0,0,27
577614,0,0,1
683019,0,0,5
748719,0,0,6
871990,0,0,2
975449,0,1,75
994489,0,0,2
1024319,0,0,1
1072465,0,0,4
1129452,0,0,7
1612666,0,0,5
1834453,0,0,2
1936551,0,0,25
1950243,0,1,16
2039434,0,0,2
2083767,0,0,11
2110581,0,0,6
2259650,0,0,33
2643609,0,0,9
2753525,0,0,14
3238976,0,0,4
3244702,0,0,2
3249166,0,1,2
3449240,0,0,17
3527485,0,0,6
3674653,0,0,2
3747293,0,0,1
3783783,0,0,8
3979930,0,0,4
4156158,0,0,3
4595423,0,0,4
4677023,0,0,2
4824107,0,0,8
4834220,0,0,6
4877411,0,0,2
5217749,0,0,3
5220782,0,0,3
5232588,0,0,1
5270060,0,0,4
5307960,0,0,1
5387470,0,0,14
5600822,0,0,4
5759284,0,0,0
5860071,0,0,4
5949488,0,0,5
5976642,0,0,0
5990132,0,0,9
6144819,0,0,10
6252885,0,0,4
6439568,0,0,2
6717871,0,0,27
6928806,0,0,7
7015471,0,1,7
7020135,0,0,4
7163917,0,0,5
7203603,0,0,5
7249363,0,0,1
7273540,0,0,2
7418489,0,0,1
7431946,0,0,7
7440594,0,1,11
7736384,0,0,3
7757631,0,0,1
7907686,0,0,25
7955670,0,0,6
8013465,0,0,3
8100868,0,0,1
8259307,0,0,15
8311704,0,1,5
8542204,0,0,10
8585433,0,0,63
8763960,0,0,1
8776918,0,0,10
8784496,0,0,9
8795607,0,0,22
9128105,0,0,56
9134079,0,0,4
9180659,0,0,8
9209946,0,0,5
9245216,0,0,5
9544834,0,0,1
9563573,0,0,11
9740704,0,1,6
9823354,0,0,31
9845449,0,0,3
9946133,0,0,7
10095386,0,0,0
10162301,0,0,10
10181060,0,0,2
10216256,0,0,2
10218563,0,0,13
10253354,0,0,39
10302000,0,0,7
10385370,0,0,4
10450544,0,0,28
10478285,0,0,2
10599862,0,0,52
10856494,0,0,1
10869571,0,0,1
11024186,0,0,1
11149819,0,1,63
11161178,0,0,27
11207650,0,0,4
11300897,0,0,2
11373749,0,0,90
11403772,0,0,104
11718802,0,0,3
11731710,0,0,25
11794760,0,0,41
11807754,0,0,4
11813637,0,0,11
11940338,0,0,24
11952990,0,0,12
11970504,0,0,18
11978743,0,0,35
12130111,0,0,8
12144171,0,0,22
12169570,0,0,0
12195913,0,0,4
12259303,0,0,10
12423315,0,0,1
12529679,0,0,1
12610800,0,0,62
12660489,0,0,1
12760368,0,0,8
12774878,0,0,6
12860805,0,0,3
12985315,0,0,1
13190476,0,0,40
13227113,0,0,0
13336286,0,0,2
13556140,0,0,5
13565651,0,0,34
13646256,0,0,2
13802025,0,0,0
13863290,0,0,1
13873032,0,0,1
14098833,0,0,3
14126086,0,0,21
14153959,0,0,1
14165501,0,1,3
14216099,0,0,1
14417857,0,0,3
14465359,0,1,64
14507290,0,0,3
14544587,0,0,18
14551726,0,0,3
14671378,0,0,6
14702137,0,0,4
14711056,0,0,0
14758912,0,0,0
14906179,0,0,7
14962163,0,0,23
15196746,0,1,23
15221799,0,0,10
15305418,0,0,16
15382030,0,0,0
15415372,0,0,2
15701750,0,0,3
15702351,0,0,1
15841597,0,0,3
16080105,0,1,6
16081636,0,0,3
16084897,0,0,30
16154372,0,0,20
16167221,0,0,3
16231773,0,0,3
16574348,0,0,1
16645459,0,0,47
16710264,0,0,2
16720641,0,0,2
17017968,0,0,4
17284266,0,0,2
17299575,0,0,1
17414305,0,0,1
17495098,0,0,8
17497581,0,0,8
17530772,0,0,52
17567828,0,1,33
17649444,0,0,10
17995238,0,0,34
18036199,0,0,4
18066817,0,0,0
18074031,0,0,2
18109027,0,0,2
18149166,0,0,1
18500119,0,0,1
18888504,0,0,1
19062398,0,0,1
19085114,0,0,26
19302548,0,0,1
19510434,0,0,1
19586574,0,0,7
19616379,0,0,2
19696244,0,0,22
20200395,0,0,17
20207081,0,0,5
20366600,0,0,12
20464587,0,1,11
20566124,0,0,3
20626832,0,0,0
20643309,0,0,0
20683035,0,0,3
20704366,0,0,3
20772968,0,1,118
20914736,0,0,3
21061921,0,0,63
21138994,0,0,0
21316693,0,0,3
21406272,0,0,1
21416874,0,0,0
21535912,0,0,2
21539893,0,0,12
21796349,0,0,1
21861124,0,0,2
21869048,0,0,0
21979395,0,0,3
22003611,0,0,3
22088241,0,0,1
22283916,0,0,1
22301321,0,0,114
22371742,0,0,29
22470137,0,0,1
22605909,0,1,5
22689481,0,0,2
22865756,0,0,0
22875444,0,0,1
23072560,0,0,1
23096237,0,0,1
23154676,0,0,1
23225650,0,0,19
23386002,0,0,4
23492094,0,0,9
23608098,0,0,8
23643789,0,0,1
23672423,0,0,3
23717586,0,0,20
23883383,0,0,2
24011187,0,0,7
24204083,0,0,4
24366790,0,0,12
24469287,0,0,89
24610082,0,0,2
24632218,0,0,35
24703611,0,0,1
24721232,0,0,98
24841093,0,0,4
24858005,0,0,4
24919113,0,0,8
24932641,0,0,2
25096601,0,0,23
25253730,0,0,1
25337857,0,0,5
25411448,0,0,0
25539892,0,0,2
25863903,0,0,3
26027937,0,0,2
26090223,0,0,2
26122540,0,0,3
26302344,0,1,11
26333936,0,0,2
26430231,0,0,13
26465134,0,0,22
26633617,0,0,0
26636189,0,0,3
26729643,0,0,20
26762388,0,1,62
26789885,0,0,1
26808868,0,0,15
26822907,0,0,0
26861985,0,0,3
27023260,0,0,0
27037996,0,0,1
27117407,0,0,1
27168078,0,0,1
27169419,0,0,10
27171538,0,0,4
27262175,0,0,12
27279261,0,0,32
27403206,0,0,24
27545486,0,0,3
27579751,0,0,2
27872805,0,0,2
27901693,0,0,1
28031199,0,0,0
28040133,0,0,1
28064589,0,0,7
28229872,0,0,2
28443095,0,0,1
28453352,0,0,3
28472068,0,0,26
28648610,0,0,2
28731346,0,0,1
28997716,0,0,4
29052354,0,0,3
29081256,0,0,5
29148231,0,0,3
29239329,0,0,20
29268335,0,0,1
29302014,0,0,2
29569611,0,0,1
29706117,0,0,3
29753085,0,0,19
29764828,0,0,2
29777760,0,0,1
29852387,0,0,4
29873979,0,0,10
29983962,0,0,3
30042027,0,0,3
30061970,0,0,24
30115594,0,0,0
30172489,0,0,2
30239820,0,0,3
30246419,0,0,142
30280104,0,0,1
30402259,0,0,1
30425578,0,0,40
30440303,0,0,40
30500254,0,0,2
30519870,0,0,14
30572170,0,0,3
30583864,0,0,2
30588978,0,0,1
30695285,0,0,1
30699429,0,0,9
30739537,1,1,1
30912860,0,0,23
30913209,0,0,10
31007645,0,0,2
31178210,0,0,1
31187179,0,0,16
31385451,0,0,1
31669242,0,0,66
31727716,0,0,4
31733621,0,0,2
31733654,0,0,5
31817706,0,0,2
31839832,0,0,1
31849177,0,0,1
31944667,0,0,2
32102983,0,0,7
32125590,0,0,2
32126281,0,0,25
32398422,0,0,0
32467994,0,0,20
32488724,0,0,0
32498610,0,0,1
32577778,0,0,6
32592631,0,0,3
32644336,0,0,3
32710856,0,0,8
32749624,0,1,6
32818456,0,0,1
32847394,0,0,8
33013552,0,0,102
33071192,0,0,0
33214968,0,0,4
33261284,0,0,1
33282871,0,0,29
33452361,0,0,4
33457161,0,0,0
33506449,0,0,0
33518079,0,0,5
33580866,0,0,7
33622085,0,0,29
33651880,0,0,58
33659046,0,0,8
33706322,0,0,19
33755449,0,0,0
33788990,0,0,1
33865373,0,0,148
33993318,0,0,1
33995654,0,0,3
34040508,0,0,1
34102593,0,0,3
34177747,0,0,28
34281672,0,0,12
34384042,0,0,1
34442062,0,0,1
34582304,0,0,3
34658438,0,0,0
34858979,0,0,0
34901647,0,0,21
34919318,0,0,32
35009482,0,0,4
35039277,0,1,19
35140004,0,0,4
35153301,0,0,1
35330593,0,0,1
35355224,0,0,1
35388317,0,0,1
35701646,0,0,41
35729292,0,0,4
35849335,0,0,0
35864169,0,0,13
36017955,0,1,2
36271979,0,0,1
36404933,0,0,75
36439985,0,0,5
36502549,0,0,8
36546868,0,1,82
36557643,0,0,72
36611463,0,0,3
36757524,0,0,1
36775354,0,0,2
36791999,0,0,3
36910614,0,0,1
36915181,0,0,0
36978196,0,0,5
37026839,0,1,3
37294596,0,0,0
37343172,0,0,1
37396841,0,1,3
37422528,0,0,27
37435998,0,0,1
37466720,0,0,1
37468189,0,0,1
37490443,0,0,9
37706629,0,0,0
37708732,0,0,1
37723786,0,0,16
37727952,0,0,1
37827989,0,0,8
37829487,0,1,4
38049880,0,1,50
38179194,0,0,4
38317154,0,0,25
38323067,0,0,1
38465050,0,1,18
38731746,0,0,7
39028341,0,0,1
39037163,0,0,30
39082468,0,0,9
39146470,0,0,2
39319649,0,0,6
39322716,0,0,2
39334748,0,0,4
39361297,0,0,20
39403038,0,0,3
39446138,0,0,6
39622853,0,0,37
39758678,0,0,0
39760170,0,0,0
39834113,0,0,6
39869522,0,0,1
39899978,0,0,5
39941720,0,0,7
39980669,0,0,0
39990790,0,0,0
40051659,0,0,3
40080833,0,0,3
40130306,0,0,0
40212239,0,0,58
40280688,0,0,5
40286953,0,0,1
40754921,0,0,0
40797591,0,0,3
41559627,0,1,20
41566004,0,0,0
41719717,0,0,13
41846650,0,0,1
41847338,0,0,0
41883229,0,0,3
41883322,0,0,2
41887439,0,0,2
42005897,0,0,28
42061089,0,0,18
42099265,0,0,1
42198457,0,0,3
42298912,0,0,1
42363887,0,0,3
42380987,0,0,3
42492910,0,0,1
42657809,0,0,34
42681063,0,0,4
42695514,0,0,1
42771635,0,0,19
42849279,0,0,3
42928788,0,0,18
42935819,0,0,0
43114966,0,0,2
43160799,0,0,7
43189361,0,0,1
43284145,0,0,1
43360645,0,0,33
43462452,0,0,2
43607599,0,0,0
43684632,0,0,35
43700700,0,0,1
43908860,0,0,5
43913966,0,0,36
43936108,0,0,2
43955374,0,0,36
44010163,0,0,2
44021324,0,0,2
44156169,0,0,4
44169472,0,0,3
44231506,0,0,1
44240866,0,0,0
44314169,0,1,46
44321815,0,0,7
44370809,0,0,6
44426653,0,0,1
44472980,0,0,53
44482198,0,0,6
44545959,0,0,23
44755776,0,0,2
44866715,0,0,20
44874005,0,0,7
45030250,0,0,4
45094639,0,0,3
45118807,0,0,1
45145682,0,0,2
45292137,0,0,5
45353031,0,0,4
45411694,0,0,9
45422636,0,0,2
45532207,0,0,3
45592640,0,0,13
45617627,0,0,33
45774794,0,0,11
45807245,0,0,1
45974860,0,0,12
46009414,0,0,0
46028967,0,0,60
46030552,0,0,4
46055854,0,0,13
46178364,0,0,0
46252394,0,0,1
46301758,0,0,20
46397411,0,0,1
46405162,0,0,1
46534663,0,0,3
46542904,0,0,1
46607365,0,0,1
46637811,0,1,32
46759859,0,0,1
46785501,0,0,8
46916822,0,0,0
46951849,0,0,5
46957399,0,0,0
47063596,0,0,3
47163562,0,0,0
47164966,0,0,0
47240858,0,0,0
47271668,0,0,2
47288156,0,0,0
47291376,0,0,5
47296055,0,0,1
47332601,0,0,0
47384202,0,0,49
47384303,0,0,27
47453568,0,0,0
47457723,0,0,108
47524459,0,0,1
47672756,0,0,9
47728342,0,0,1
47773209,0,0,2
47887890,0,0,2
48028873,0,0,27
48058475,0,0,2
48080423,0,0,1
48118779,0,0,0
48149238,0,0,13
48175931,0,0,10
48239695,0,0,4
48334326,0,0,1
48386574,0,0,7
48449055,0,0,3
48456902,0,0,2
48492052,0,0,2
48525807,0,0,15
48626533,0,0,12
48666962,0,0,5
48798067,0,1,85
48845802,0,0,1
48984158,0,0,19
48984341,0,0,2
49050405,0,0,19
49063269,0,0,1
49131499,0,0,0
49191483,0,0,1
49228258,0,0,52
49312497,0,0,7
49319563,0,0,4
49342564,0,0,9
49350285,0,0,1
49380630,0,0,2
49413665,0,0,1
49462664,0,0,44
49624770,0,0,15
49629862,0,0,2
49630184,0,0,7
49724738,0,0,0
49767455,0,0,8
49769103,0,0,1
49832324,0,0,8
49893565,0,0,96
50032397,0,0,1
50095094,0,0,1
50131557,0,0,1
50185776,0,0,1
50229934,0,0,11
50275189,0,0,3
50553129,0,0,2
50600002,0,0,1
50700418,0,0,18
50744279,0,0,16
50769696,0,0,9
50797633,0,0,12
50801801,0,0,15
50811344,0,0,7
50818751,0,0,48
50888871,0,0,0
51085779,0,0,24
51132884,0,0,5
51382080,0,0,3
51557405,0,1,68
51558260,0,0,1
51699341,0,0,1
51822361,0,0,29
51905751,0,0,1
51941260,0,0,3
52072237,0,0,1
52203520,0,0,2
52217458,0,0,1
52321307,0,0,5
52435421,0,1,4
52545855,0,0,0
52567955,0,0,6
52731290,0,0,9
52781598,0,1,3
52907921,0,0,14
53091150,0,0,36
53097340,0,0,22
53244117,1,1,1
53245953,0,0,5
53258793,0,0,3
53509003,0,0,2
53621752,0,1,2
53711793,0,0,5
53778883,0,0,0
53779471,0,0,3
53784377,0,0,2
53875128,0,0,102
53898495,0,0,30
53901705,0,0,10
53986832,0,0,1
54103616,0,0,5
54194546,0,0,5
54291917,0,0,2
54293428,0,0,23
54310644,0,0,25
54507379,0,0,7
54568397,0,0,4
54637394,0,0,23
54739142,0,0,1
54761333,0,0,18
54819677,0,0,0
54826284,0,0,22
54992167,0,0,1
54999247,0,0,5
55112407,0,0,1
55120589,0,0,0
55143039,0,0,3
55229923,0,0,0
55300764,0,0,4
55319994,0,0,1
55334302,0,0,5
55352649,0,0,0
55367062,0,0,40
55426012,0,0,42
55446861,0,0,2
55502052,0,0,2
55522584,0,0,3
55672384,0,0,0
55739825,0,0,3
55745376,0,0,0
55751308,0,0,5
55755821,0,0,8
55761025,0,0,14
55763300,0,0,1
55776971,0,0,0
55906572,0,0,43
55975168,0,0,15
56002861,0,0,2
56038151,0,0,36
56198811,0,0,0
56219610,0,0,3
56333620,0,0,10
56413349,0,0,1
56436989,0,0,8
56470008,0,0,1
56497895,0,0,2
56684410,0,0,4
56789999,0,0,1
56813714,0,0,2
56899274,0,0,4
56911639,0,0,0
56957512,0,0,3
57033787,0,0,1
57103808,0,0,18
57226729,0,0,3
57271785,0,0,0
57368001,0,0,6
57424113,0,0,2
57433226,0,0,5
57451291,0,0,3
57603447,0,0,27
57770056,0,0,14
57798235,0,1,3
57905818,0,0,4
57974873,0,0,11
58029555,0,0,1
58057627,0,0,10
58217836,0,0,4
58223726,0,0,2
58237510,0,0,0
58289184,0,0,5
58297398,0,0,9
58298928,1,1,1
58312813,0,0,0
58316550,0,0,1
58345543,0,1,118
58411748,0,0,2
