user_id,ratio,numberRecommendationUserHas,numberGamesUserHasInTest
48626533,0,0,12
132180557,0,4,7
12860805,1,3,3
37422528,0,1,27
204480696,0,0,0
184694766,0,2,8
143877335,0,0,29
50818751,0,2,48
5759284,0,0,0
4595423,0,0,4
11403772,0,2,104
101725007,0,1,6
80550861,0,1,16
43913966,0,1,36
103848468,0,1,2
77980915,0,0,32
209917929,0,3,18
31669242,0,5,66
27116257,0,0,0
152419713,0,0,17
210905793,0,0,16
160288335,0,0,7
46055854,0,0,13
171067153,0,5,20
35701646,0,4,41
117022366,0,1,13
131785763,0,0,13
42771635,0,2,19
223064225,0,1,5
42657809,0,0,34
27099151,0,0,0
95325409,0,1,5
42061089,0,0,18
2110581,0,1,6
136495026,0,0,7
106170243,0,1,5
26762388,0,0,62
79073449,0,0,19
30912860,0,1,23
58830050,0,0,0
165101762,0,2,14
30440303,0,4,40
58931437,0,1,24
154174570,0,0,0
78341587,0,4,54
561758,0,2,27
257603009,0,0,0
55761025,0,2,14
58907890,0,0,6
111142411,0,0,0
182229935,0,1,18
26729643,0,0,20
50275189,0,2,3
190073388,0,0,6
202298227,0,0,0
72627862,0,2,12
194305157,0,1,2
50229934,0,0,11
105503045,0,1,27
95898619,0,0,0
75463760,0,1,8
274410276,0,0,0
51085779,0,2,24
155082814,1,1,1
190708114,0,0,0
62486194,0,0,0
158495272,1,3,3
13565651,0,1,34
42363887,0,2,3
94936385,0,3,25
67579257,0,0,28
45974860,0,0,12
65958466,0,1,27
11794760,0,1,41
51822361,0,2,29
169688576,0,0,0
78309377,0,2,46
32126281,0,2,25
49380630,0,0,2
26491227,0,0,0
17495098,0,0,8
134322141,0,1,36
10253354,0,0,39
148362155,0,0,50
109175936,0,1,8
284680706,0,2,6
241186290,0,0,0
172795625,0,1,2
54194546,0,2,5
156407373,0,1,7
90272527,0,0,23
152585209,0,1,9
77214425,0,1,43
203800963,0,4,14
28997716,0,2,4
162288536,0,2,15
56038151,0,2,36
110658990,0,3,13
55906572,0,1,43
228766741,0,0,0
66650717,0,0,25
133997970,0,1,9
103624897,0,0,5
157636450,0,4,44
98624963,0,3,4
22371742,0,1,29
115037563,0,4,20
13802025,0,0,0
22301321,0,4,114
206485753,0,0,1
164511211,0,1,11
266479412,0,1,2
55975168,0,2,15
100894366,0,0,9
34919318,0,2,32
176771895,0,0,28
107377573,0,2,16
5387470,0,4,14
26302344,0,1,11
38049880,0,1,50
99077905,0,3,40
67694595,0,2,16
154730370,0,1,10
33651880,0,0,58
80988171,0,1,2
43684632,0,0,35
88579585,0,2,57
94851051,0,2,6
132196353,0,1,12
15415372,0,1,2
116756674,0,0,0
123974970,0,0,0
71390526,0,1,13
73835640,0,0,37
14126086,0,0,21
58345543,0,2,118
30425578,0,1,40
100519466,0,0,8
128790593,0,0,2
94120095,0,1,2
36557643,0,0,72
116564064,0,1,37
12610800,0,2,62
163930591,0,1,11
77194239,0,5,37
105877396,0,0,23
65754991,0,0,30
89564754,0,0,1
236434806,0,1,3
72996988,0,0,14
197966478,0,2,9
47453568,0,0,0
196066421,0,2,9
61189155,0,0,23
14465359,0,4,64
39037163,0,0,30
150789931,0,1,11
6717871,0,2,27
69009454,0,4,46
93300963,0,2,5
71777065,0,1,25
127555883,0,1,8
153633636,0,1,6
246258933,0,2,4
83770731,0,1,30
247853623,0,0,4
167194020,0,1,6
291527866,0,0,0
10599862,0,1,52
63098418,0,3,5
63157803,0,0,18
114838001,0,3,9
102263723,0,0,11
24469287,0,1,89
48798067,0,0,85
49893565,0,2,96
33865373,0,1,148
46028967,0,2,60
12760368,0,3,8
298950,0,1,50
1268792,0,1,2
26101823,0,0,1
44321815,0,0,7
101690993,0,3,35
87740709,0,3,7
65935023,0,1,7
65398650,0,2,56
79155765,0,2,3
75155353,0,1,14
128608678,0,0,2
27279261,0,0,32
62990992,0,2,211
39941720,0,0,7
140408017,0,3,4
9128105,0,2,56
100311267,0,2,16
181701327,0,0,0
114030647,0,0,13
59662830,0,1,38
70686116,0,0,1
183337134,0,2,4
302545663,0,0,0
95853467,0,0,1
131940023,0,0,16
8585433,0,2,63
45145682,0,0,2
221744925,0,0,1
107452765,0,1,34
240551525,0,2,4
66748534,1,1,1
11149819,0,1,63
151603712,0,1,5
81585721,0,2,22
233408698,0,0,0
