name,all_reviews,developer,publisher,popular_tags,game_details,genre,mature_content,minimum_requirements,original_price
doom,"Very Positive,(42,550),- 92% of the 42,550 user reviews for this game are positive.",id Software,"Bethesda Softworks,Bethesda Softworks","FPS,Gore,Action,Demons,Shooter,First-Person,Great Soundtrack,Multiplayer,Singleplayer,Fast-Paced,Sci-fi,Horror,Classic,Atmospheric,Difficult,Blood,Remake,Zombies,Co-op,Memes","Single-player,Multi-player,Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud",Action,,"Minimum:,OS:,Windows 7/8.1/10 (64-bit versions),Processor:,Intel Core i5-2400/AMD FX-8320 or better,Memory:,8 GB RAM,Graphics:,NVIDIA GTX 670 2GB/AMD Radeon HD 7870 2GB or better,Storage:,55 GB available space,Additional Notes:,Requires Steam activation and broadband internet connection for Multiplayer and SnapMap",$19.99 
playerunknown's battlegrounds,"Mixed,(836,608),- 49% of the 836,608 user reviews for this game are positive.",PUBG Corporation,"PUBG Corporation,PUBG Corporation","Survival,Shooter,Multiplayer,Battle Royale,PvP,FPS,Third-Person Shooter,Action,Online Co-Op,Tactical,Co-op,First-Person,Early Access,Strategy,Competitive,Third Person,Team-Based,Difficult,Simulation,Stealth","Multi-player,Online Multi-Player,Stats","Action,Adventure,Massively Multiplayer"," Mature Content Description  The developers describe the content like this:  This Game may contain content not appropriate for all ages, or may not be appropriate for viewing at work: Frequent Violence or Gore, General Mature Content  ","Minimum:,Requires a 64-bit processor and operating system,OS:,64-bit Windows 7, Windows 8.1, Windows 10,Processor:,Intel Core i5-4430 / AMD FX-6300,Memory:,8 GB RAM,Graphics:,NVIDIA GeForce GTX 960 2GB / AMD Radeon R7 370 2GB,DirectX:,Version 11,Network:,Broadband Internet connection,Storage:,30 GB available space",$29.99 
battletech,"Mostly Positive,(7,030),- 71% of the 7,030 user reviews for this game are positive.",Harebrained Schemes,"Paradox Interactive,Paradox Interactive","Mechs,Strategy,Turn-Based,Turn-Based Tactics,Sci-fi,Turn-Based Strategy,Tactical,Singleplayer,Robots,RPG,Action,Multiplayer,Futuristic,Character Customization,Management,Adventure,Space,Story Rich,Great Soundtrack,Difficult","Single-player,Multi-player,Online Multi-Player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Cloud","Action,Adventure,Strategy",,"Minimum:,Requires a 64-bit processor and operating system,OS:,64-bit Windows 7 or Higher,Processor:,Intel® Core™ i3-2105 or AMD® Phenom™ II X3 720,Memory:,8 GB RAM,Graphics:,Nvidia® GeForce™ GTX 560 Ti or AMD® ATI Radeon™ HD 5870 (1 GB VRAM),DirectX:,Version 11,Network:,Broadband Internet connection,Storage:,35 GB available space,Sound Card:,DirectX 9 sound device,Additional Notes:,Multiplayer is compatible between Windows, Mac and Linux versions.,Minimum:,Requires a 64-bit processor and operating system,OS:,macOS High Sierra 10.13.3,Processor:,Intel® Core™ i5-4670,Memory:,8 GB RAM,Graphics:,Nvidia® GeForce™ GTX 775M (2 GB VRAM),Network:,Broadband Internet connection,Storage:,35 GB available space,Additional Notes:,Multiplayer is compatible between Windows, Mac and Linux versions.,Minimum:,Requires a 64-bit processor and operating system,OS:,64-bit Ubuntu 18.04 LTS and higher or SteamOS,Processor:,Intel® Core™ i3-3240 CPU,Memory:,8 GB RAM,Graphics:,Nvidia® GeForce™ GTX 560,Network:,Broadband Internet connection,Storage:,35 GB available space,Additional Notes:,Multiplayer is compatible between Windows, Mac and Linux versions.",$39.99 
dayz,"Mixed,(167,115),- 61% of the 167,115 user reviews for this game are positive.",Bohemia Interactive,"Bohemia Interactive,Bohemia Interactive","Survival,Zombies,Open World,Multiplayer,PvP,Massively Multiplayer,Action,Early Access,Simulation,FPS,Post-apocalyptic,Survival Horror,Shooter,Sandbox,Adventure,Indie,Co-op,Atmospheric,Horror,Military","Multi-player,Online Multi-Player,Steam Workshop,Steam Cloud,Valve Anti-Cheat enabled","Action,Adventure,Massively Multiplayer",,"Minimum:,OS:,Windows 7/8.1 64-bit,Processor:,Intel Core i5-4430,Memory:,8 GB RAM,Graphics:,NVIDIA GeForce GTX 760 or AMD R9 270X,DirectX:,Version 11,Storage:,16 GB available space,Sound Card:,DirectX®-compatible,Additional Notes:,Internet connection",$44.99 
eve online,"Mostly Positive,(11,481),- 74% of the 11,481 user reviews for this game are positive.",CCP,"CCP,CCP","Space,Massively Multiplayer,Sci-fi,Sandbox,MMORPG,Open World,RPG,PvP,Multiplayer,Free to Play,Economy,Strategy,Space Sim,Simulation,Action,Difficult,Tactical,Capitalism,PvE,Atmospheric","Multi-player,Online Multi-Player,MMO,Co-op,Online Co-op,Steam Trading Cards","Action,Free to Play,Massively Multiplayer,RPG,Strategy",,"Minimum:,OS:,Windows 7,Processor:,Intel Dual Core @ 2.0 GHz, AMD Dual Core @ 2.0 GHz),Memory:,2 GB,Hard Drive:,20 GB Free Space,Video:,AMD Radeon 2600 XT or NVIDIA GeForce 8600 GTS,Network:,ADSL connection (or faster),Minimum:,Supported OS:,Mac OS X 10.12,Processor:,CPU that supports SSE2 (Intel Dual Core @ 2.0 GHz),Memory:,2 GB,Hard Drive:,20 GB Free Space,Video:,NVIDIA GeForce 320m, Intel HD 3000",Free
grand theft auto v: premium online edition,,Rockstar North,Rockstar Games,,"Single-player,Multi-player,Downloadable Content,Steam Achievements,Full controller support","Action,Adventure",,,
devil may cry 5,"Very Positive,(9,645),- 92% of the 9,645 user reviews for this game are positive.","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.,CAPCOM Co., Ltd.","Action,Hack and Slash,Great Soundtrack,Demons,Character Action Game,Spectacle fighter,Third Person,Violent,Singleplayer,Classic,Stylized,Gore,Story Rich,Nudity,Multiplayer,Controller,Difficult,Adventure,Anime,Family Friendly","Single-player,Online Multi-Player,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",Action," Mature Content Description  The developers describe the content like this:  WARNING: This game contains strong language, violence and nudity.  ","Minimum:,OS:,WINDOWS® 7, 8.1, 10 (64-BIT Required),Processor:,Intel® Core™ i5-4460, AMD FX™-6300, or better,Memory:,8 GB RAM,Graphics:,NVIDIA® GeForce® GTX 760 or AMD Radeon™ R7 260x with 2GB Video RAM, or better,DirectX:,Version 11,Storage:,35 GB available space,Additional Notes:,*Xinput support Controllers recommended *Internet connection required for game activation. (Network connectivity uses Steam® developed by Valve® Corporation.)",$59.99 
human: fall flat,"Very Positive,(23,763),- 91% of the 23,763 user reviews for this game are positive.",No Brakes Games,"Curve Digital,Curve Digital","Funny,Multiplayer,Co-op,Puzzle,Physics,Local Co-Op,Comedy,Adventure,Indie,Parkour,Puzzle-Platformer,Local Multiplayer,Sandbox,Casual,Open World,Singleplayer,3D Platformer,Split Screen,Simulation,Survival","Single-player,Online Multi-Player,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats","Adventure,Indie",,"Minimum:,OS:,Windows XP/Vista/7/8/8.1/10 x86 and x64,Processor:,Intel Core2 Duo E6750 (2 * 2660) or equivalent | AMD Athlon 64 X2 Dual Core 6000+ (2 * 3000) or equivalent,Memory:,1024 MB RAM,Graphics:,GeForce GT 740 (2048 MB) or equivalent | Radeon HD 5770 (1024 MB),Storage:,500 MB available space,Minimum:,OS:,OS X 10.9 and higher,Processor:,Intel Core2 Duo E6750 (2 * 2660) or equivalent | AMD Athlon 64 X2 Dual Core 6000+ (2 * 3000) or equivalent,Memory:,1024 MB RAM,Graphics:,GeForce GT 740 (2048 MB) or equivalent | Radeon HD 5770 (1024 MB),Storage:,500 MB available space,Additional Notes:,Requires a two-button mouse or controller",$14.99 
they are billions,"Very Positive,(12,127),- 85% of the 12,127 user reviews for this game are positive.",Numantian Games,"Numantian Games,Numantian Games","Early Access,Base Building,Strategy,Zombies,Survival,RTS,Steampunk,City Builder,Tower Defense,Post-apocalyptic,Building,Singleplayer,Resource Management,Real-Time with Pause,Early Access,Difficult,Tactical,Management,Indie,Isometric","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Stats,Steam Leaderboards","Strategy,Early Access",,"Minimum:,OS:,Windows 7, 8, 10 (32 and 64 bits),Processor:,INTEL, AMD 2 cores CPU at 2Ghz,Memory:,4 GB RAM,Graphics:,Intel HD3000, Radeon, Nvidia card with shader model 3, 1GB video ram.,DirectX:,Version 9.0c,Storage:,4 GB available space,Additional Notes:,Minimum resolution: 1360x768, recomended FULL HD 1920x1080.",$29.99 
warhammer: chaosbane,"Mixed,(904),- 44% of the 904 user reviews for this game are positive.",Eko Software,"Bigben Interactive,Bigben Interactive","RPG,Adventure,Hack and Slash,Action,Action RPG,Games Workshop,Violent,Fantasy,Co-op,War,Isometric,Dark Fantasy,Warhammer 40K,Historical,Colorful","Single-player,Multi-player,Co-op,Online Co-op,Local Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Adventure,RPG"," Mature Content Description  The developers describe the content like this:  This game may contain content not appropriate for all ages, or may not be appropriate for viewing at work: Frequent Violence  ","Minimum:,Requires a 64-bit processor and operating system,OS:,64bits version of Windows® 7, Windows® 8, Windows® 10,Processor:,Intel® Core i3 or AMD Phenom™ II X3,Memory:,6 GB RAM,Graphics:,NVIDIA® GeForce® GTX 660 or AMD Radeon™ HD 7850 with 2 GB	RAM,DirectX:,Version 11,Storage:,20 GB available space,Sound Card:,DirectX Compatible Soundcard",$49.99 
