user_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
48626533,Prison Architect,Saints Row The Third,Don't Starve Together Beta,"Warhammer 40,000 Dawn of War II - Chaos Rising",Torchlight II,Natural Selection 2,Elite Dangerous,Cities Skylines,METAL GEAR SOLID V THE PHANTOM PAIN,Borderlands The Pre-Sequel,Call of Duty Advanced Warfare - Multiplayer,This War of Mine,Fallout New Vegas,Reign Of Kings,Sleeping Dogs,Dead Island,Game Dev Tycoon,Sid Meier's Civilization V,Total War SHOGUN 2,Call of Duty Black Ops - Multiplayer
132180557,Euro Truck Simulator 2,Call of Duty Modern Warfare 2,Hitman Absolution,Call of Duty Modern Warfare 2 - Multiplayer,Call of Duty Modern Warfare 3 - Multiplayer,RollerCoaster Tycoon 3 Platinum!,Sid Meier's Civilization V,The Elder Scrolls V Skyrim,Robocraft,Dead Island,Far Cry 3,Rust,Just Cause 2,Star Wars - Battlefront II,Just Cause 2 Multiplayer Mod,Call of Duty Modern Warfare 3,Battlefield Bad Company 2,Stronghold 3,Saints Row The Third,"Warhammer 40,000 Dawn of War II"
12860805,Call of Duty Ghosts,Call of Duty Black Ops - Multiplayer,Call of Duty Black Ops,Call of Duty Ghosts - Multiplayer,Call of Duty Modern Warfare 2 - Multiplayer,Call of Duty Modern Warfare 3,Call of Duty Modern Warfare 2,Half-Life 2,Call of Duty Black Ops II,Half-Life 2 Episode One,Call of Duty 4 Modern Warfare,Half-Life 2 Episode Two,Grand Theft Auto IV,Call of Duty Black Ops II - Zombies,Portal 2,Call of Duty World at War,Battlefield Bad Company 2,Homefront,Call of Duty Modern Warfare 3 - Multiplayer,Call of Duty Black Ops II - Multiplayer
37422528,Call of Duty Ghosts,Call of Duty Ghosts - Multiplayer,Call of Duty Black Ops II,Saints Row The Third,Call of Duty Black Ops II - Zombies,Tomb Raider,Dead Island Epidemic,Dead Island Riptide,Fallout 4,Battlefield Bad Company 2,Call of Duty World at War,Unturned,Sid Meier's Civilization V,Counter-Strike Global Offensive,Call of Duty Modern Warfare 2 - Multiplayer,Call of Duty Black Ops - Multiplayer,Call of Duty Black Ops II - Multiplayer,Call of Duty Black Ops,Call of Duty Advanced Warfare - Multiplayer,Call of Duty Advanced Warfare
204480696,Don't Starve Together Beta,Starbound,Terraria,BioShock Infinite,Don't Starve,ARK Survival Evolved,The Witcher 3 Wild Hunt,War Thunder,The Witcher 2 Assassins of Kings Enhanced Edition,PAYDAY 2,DayZ,Torchlight II,Dishonored,Middle-earth Shadow of Mordor,Tomb Raider,Fallout 4,Castle Crashers,Dark Souls Prepare to Die Edition,NARUTO SHIPPUDEN Ultimate Ninja STORM 3 Full B...,BioShock 2
184694766,Unturned,Left 4 Dead 2,Counter-Strike Global Offensive,Team Fortress 2,Saints Row The Third,The Elder Scrolls V Skyrim,Garry's Mod,Call of Duty World at War,Counter-Strike Source,Sid Meier's Civilization V,PAYDAY 2,H1Z1,Dirty Bomb,Warframe,SMITE,Sniper Elite V2,Heroes & Generals,Dead Island Epidemic,No More Room in Hell,Saints Row IV
143877335,PlanetSide 2,Tom Clancy's Ghost Recon Phantoms - EU,HAWKEN,Goat Simulator,Mafia II,The Escapists,BLOCKADE 3D,Nosgoth,H1Z1,Realm of the Mad God,RaceRoom Racing Experience,Darkest Dungeon,Castle Crashers,Banished,Rocket League,Super Monday Night Combat,SimCity 4 Deluxe,DARK SOULS II Scholar of the First Sin,Sid Meier's Civilization III Complete,APB Reloaded
50818751,F.E.A.R. 2 Project Origin,DiRT 3,Homefront,Duke Nukem Forever,"Warhammer 40,000 Dawn of War  Dark Crusade",Medal of Honor(TM) Single Player,Grand Theft Auto Episodes from Liberty City,Infestation Survivor Stories,Assassin's Creed,Magic The Gathering  Duels of the Planeswalker...,Half-Life Opposing Force,Red Faction Armageddon,Dead Space,Grand Theft Auto IV,Half-Life 2 Episode One,Half-Life 2 Episode Two,Half-Life Source,Tom Clancy's Splinter Cell Conviction,Torchlight,Bulletstorm
5759284,Counter-Strike,PAYDAY 2,Left 4 Dead 2,Counter-Strike Condition Zero,Counter-Strike Condition Zero Deleted Scenes,Counter-Strike Source,Day of Defeat,Terraria,Garry's Mod,Fallout New Vegas,Fallout 4,Team Fortress 2,DayZ,The Elder Scrolls V Skyrim,Rust,War Thunder,Day of Defeat Source,Mafia II,Far Cry 3,Warframe
4595423,Team Fortress 2,Counter-Strike Source,Alien Swarm,Garry's Mod,The Elder Scrolls V Skyrim,Left 4 Dead 2,Warframe,PAYDAY 2,DC Universe Online,Counter-Strike,Borderlands 2,Half-Life 2 Deathmatch,Day of Defeat Source,Sid Meier's Civilization V,Unturned,Half-Life 2,Half-Life 2 Lost Coast,Counter-Strike Condition Zero,Rust,Terraria
11403772,Tropico 3 - Steam Special Edition,Titan Quest,Transistor,GameMaker Studio,The Secret of Monkey Island Special Edition,Space Pirates and Zombies,Alice Madness Returns,VVVVVV,Call of Juarez Gunslinger,RollerCoaster Tycoon 3 Platinum!,Burnout Paradise The Ultimate Box,Overlord II,FINAL FANTASY VII,Sonic Generations,Race The Sun,Dust An Elysian Tail,RIFT,Serious Sam HD The First Encounter,Broforce,Legend of Grimrock
101725007,No More Room in Hell,Garry's Mod,Left 4 Dead 2,AdVenture Capitalist,Sid Meier's Civilization V,Banished,Rocket League,Rust,Fallout 3 - Game of the Year Edition,Starbound,Trove,ARK Survival Evolved,Counter-Strike Global Offensive,Don't Starve Together Beta,Team Fortress 2,Dota 2,Divinity Original Sin,Terraria,The Elder Scrolls V Skyrim,Arma 3
80550861,ARK Survival Evolved,Starbound,Ori and the Blind Forest,SpeedRunners,Borderlands 2,Spore,Terraria,Fallout New Vegas,Dead Island,The Witcher 3 Wild Hunt,Trine 2,Path of Exile,Dark Souls Prepare to Die Edition,This War of Mine,Fallout 4,METAL GEAR SOLID V GROUND ZEROES,DayZ,PAYDAY 2,DARK SOULS II,Far Cry 4
43913966,Euro Truck Simulator 2,Dungeon Defenders II,Call of Duty Advanced Warfare - Multiplayer,Loadout,RollerCoaster Tycoon 3 Platinum!,Call of Duty Black Ops III,PlanetSide 2,LEGO Worlds,Dead Island,Path of Exile,Star Wars - Battlefront II,Rocket League,Watch_Dogs,SpeedRunners,The Crew,RAGE,Sniper Ghost Warrior 2,Command and Conquer Red Alert 3,Far Cry 3,Besiege
103848468,Half-Life 2,Half-Life 2 Episode One,Portal,Half-Life 2 Episode Two,Portal 2,Call of Duty Black Ops,Deus Ex Human Revolution,Half-Life 2 Lost Coast,Half-Life,Grand Theft Auto IV,Alien Swarm,The Binding of Isaac,Call of Duty Black Ops - Multiplayer,Borderlands,Dungeon Defenders,Day of Defeat Source,Mafia II,Half-Life Source,Left 4 Dead,Call of Duty Modern Warfare 3
77980915,Hitman Absolution,Insurgency,METAL GEAR SOLID V THE PHANTOM PAIN,Star Wars - Battlefront II,Reign Of Kings,Don't Starve Together Beta,Arma 2 Operation Arrowhead,Space Engineers,This War of Mine,Prison Architect,Rocket League,Arma 2,Total War SHOGUN 2,Arma 2 Operation Arrowhead Beta (Obsolete),BioShock Infinite,Stronghold 3,Call of Duty Advanced Warfare - Multiplayer,Max Payne 3,The Forest,Natural Selection 2
209917929,The Witcher Enhanced Edition,Don't Starve,Don't Starve Together Beta,The Witcher 2 Assassins of Kings Enhanced Edition,Darksiders II,FINAL FANTASY VII,The Witcher 3 Wild Hunt,Borderlands The Pre-Sequel,Starbound,Tomb Raider,PlanetSide 2,Magic Duels,Total War SHOGUN 2,Castle Crashers,Chivalry Medieval Warfare,Terraria,BioShock Infinite,Marvel Heroes 2015,The Lord of the Rings War in the North,Dishonored
31669242,Trine 2,Surgeon Simulator,Rocket League,Prison Architect,Portal 2,Half-Life 2,Just Cause 2,Natural Selection 2,PlanetSide 2,Middle-earth Shadow of Mordor,ARK Survival Evolved,FTL Faster Than Light,The Walking Dead,Killing Floor,Dark Souls Prepare to Die Edition,Magicka,Grand Theft Auto V,Kerbal Space Program,Sid Meier's Civilization III Complete,Burnout Paradise The Ultimate Box
27116257,Age of Empires II HD Edition,Half-Life 2,Day of Defeat Source,Cities in Motion,Sid Meier's Railroads!,Farming Simulator 15,Portal,RollerCoaster Tycoon 3 Platinum!,PlanetSide 2,Farming Simulator 2013,Dungeons & Dragons Online,Napoleon Total War,Space Engineers,Total War Battles KINGDOM,Supreme Commander 2,Tropico 4,War Inc. Battlezone,The Escapists,Evil Genius,Alien Swarm
152419713,Mortal Kombat Komplete Edition,Call of Duty World at War,Grand Theft Auto IV,Assassin's Creed III,The Elder Scrolls V Skyrim,Dead Island Epidemic,Fistful of Frags,Besiege,Outlast,NARUTO SHIPPUDEN Ultimate Ninja STORM 3 Full B...,Dying Light,Trials Evolution Gold Edition,Thief,Sid Meier's Civilization V,SMITE,Loadout,H1Z1,BioShock Infinite,Chivalry Medieval Warfare,Nosgoth
210905793,Source Filmmaker,Age of Empires II HD Edition,DC Universe Online,Duke Nukem Forever,MicroVolts Surge,Gotham City Impostors Free To Play,Robocraft,Farming Simulator 15,Farming Simulator 2013,Runestone Keeper,GTR Evolution,APB Reloaded,Day of Defeat Source,"Warhammer 40,000 Dawn of War II  Retribution",Dizzel,Half-Life 2,Hazard Ops,Enforcer Police Crime Action,Time Clickers,BLOCKADE 3D
